lat,lon,day_of_year,sst,ssh,sss,temp_50m,temp_100m,temp_200m,temp_500m
18.95,72.37,204,27.04,0.661,34.77,26.04,22.86,18.79,13.26
15.04,75.68,219,26.71,0.716,34.77,25.62,22.15,18.35,13.02
9.95,72.96,241,27.19,0.7,34.59,26.58,23.57,19.52,14.24
15.92,70.06,320,26.52,0.668,34.7,25.31,23.07,18.43,13.0
8.55,63.26,258,27.65,0.689,34.95,26.7,24.02,20.31,14.87
22.55,71.33,109,27.4,0.743,34.76,26.21,23.69,19.89,14.71
12.14,70.6,256,27.03,0.61,34.75,26.12,23.14,18.44,13.46
18.6,70.24,282,25.81,0.656,34.72,25.44,22.36,18.31,12.78
12.99,68.33,220,27.68,0.698,34.86,26.87,24.18,20.4,15.27
16.32,68.99,83,29.07,0.692,34.74,28.39,25.56,21.22,15.28
16.75,65.69,107,28.75,0.797,35.13,27.79,24.87,20.24,14.89
10.96,68.83,69,29.1,0.635,34.78,28.23,25.91,21.38,15.23
23.51,63.36,97,27.8,0.709,35.01,27.04,23.94,19.8,14.06
20.4,73.69,212,26.65,0.691,34.41,26.19,23.06,19.33,13.52
23.03,63.16,286,25.82,0.605,34.91,24.77,22.23,17.69,12.68
22.32,61.44,237,26.41,0.673,35.08,25.81,23.19,18.66,13.08
17.57,67.42,8,28.07,0.703,34.87,27.22,24.06,19.84,14.32
22.75,71.19,294,25.71,0.681,34.82,24.7,21.88,18.06,12.49
9.42,67.44,189,28.57,0.868,34.75,27.42,23.95,20.55,14.62
11.14,64.7,81,29.49,0.768,35.06,28.11,25.32,21.25,15.84
8.72,69.49,108,30.45,0.808,34.88,28.69,25.65,21.28,15.8
13.21,65.9,321,27.44,0.654,35.03,26.19,23.29,18.87,13.13
14.22,75.86,67,29.35,0.759,34.67,28.28,25.06,21.51,16.42
12.34,75.68,174,28.35,0.705,34.46,27.33,24.84,20.23,15.13
21.26,68.54,346,26.25,0.689,34.91,25.14,22.37,18.35,12.47
13.71,65.57,351,27.74,0.645,35.15,26.67,24.14,20.57,14.86
12.49,72.53,328,27.52,0.653,34.84,26.54,23.68,19.52,14.16
16.68,60.62,43,28.56,0.774,35.36,27.5,24.97,20.44,14.8
10.25,68.07,187,28.35,0.729,34.9,27.06,23.63,19.74,14.18
20.84,65.72,302,26.02,0.704,34.91,25.01,22.16,18.1,12.3
9.19,75.65,200,28.82,0.749,34.32,27.99,25.47,21.56,15.76
23.79,60.2,39,26.88,0.697,35.07,25.73,22.28,18.42,12.76
20.36,69.4,220,25.79,0.631,34.77,25.15,22.37,18.48,13.02
11.18,72.59,307,27.89,0.699,34.66,27.1,24.43,20.45,15.01
8.09,68.25,4,28.63,0.767,34.79,27.44,24.44,20.61,14.87
21.05,61.45,121,27.97,0.704,35.18,27.21,24.65,21.09,15.25
19.31,76.53,336,26.91,0.725,34.56,25.86,23.3,18.89,13.01
19.66,68.81,77,28.4,0.718,34.85,27.56,24.52,20.31,15.11
20.34,70.44,179,27.2,0.639,34.86,26.77,23.84,20.05,15.19
9.18,64.02,133,29.75,0.712,34.99,28.91,25.7,21.57,16.2
13.74,68.22,311,27.93,0.701,34.98,26.83,24.07,19.47,13.2
9.85,67.3,229,28.39,0.758,34.79,27.05,24.23,20.26,14.93
21.81,61.27,276,25.52,0.609,35.12,24.62,21.81,17.52,12.37
17.97,61.8,152,28.42,0.752,35.16,27.55,24.71,21.46,15.76
13.29,74.24,164,28.73,0.736,34.44,27.86,24.74,21.04,15.8
9.02,64.08,290,27.69,0.725,34.99,26.57,23.28,19.64,14.46
12.98,63.31,109,29.13,0.732,35.14,28.46,25.73,21.65,16.53
13.2,68.58,126,29.35,0.758,34.81,28.34,25.4,21.42,15.75
19.67,73.07,240,26.15,0.692,34.49,25.17,22.02,17.78,12.3
18.2,61.05,310,26.38,0.661,35.07,25.57,22.52,18.09,12.64
22.2,69.81,345,26.24,0.636,34.67,25.54,23.0,18.53,13.43
15.56,62.03,146,28.87,0.663,35.17,27.75,25.18,21.93,16.31
9.91,60.62,252,27.37,0.713,35.19,26.1,23.44,19.5,14.28
19.41,60.9,183,27.05,0.651,35.01,25.83,22.99,18.36,12.94
20.17,74.18,309,26.42,0.642,34.47,25.49,22.46,18.75,13.53
16.98,62.01,306,26.59,0.625,35.05,25.89,23.48,20.43,15.15
20.34,60.77,72,28.25,0.708,35.17,27.51,24.56,19.84,14.15
15.9,67.44,219,27.42,0.776,34.84,26.68,23.88,20.02,14.6
16.36,74.35,207,27.65,0.714,34.66,26.56,23.45,18.9,13.2
14.84,64.46,173,27.53,0.67,35.05,26.52,23.61,19.97,14.46
8.41,67.17,141,29.69,0.742,34.97,28.19,24.52,19.57,14.59
9.73,60.68,272,27.12,0.626,35.03,26.23,23.23,19.16,13.54
8.5,67.63,214,28.19,0.67,34.87,27.35,24.06,20.13,14.45
18.18,69.82,269,26.27,0.607,34.91,25.14,22.41,17.75,12.2
13.03,69.71,20,28.54,0.737,34.74,27.85,24.8,20.88,15.58
16.14,65.65,66,28.56,0.745,34.89,27.56,24.59,20.31,15.01
22.52,65.36,303,25.45,0.637,34.94,24.4,22.22,18.81,13.42
11.99,61.81,147,29.31,0.764,35.08,28.21,25.02,20.35,14.61
14.57,66.24,165,28.83,0.704,34.96,27.97,25.15,21.42,15.84
20.09,61.69,310,25.59,0.592,35.07,24.71,21.98,17.84,12.76
11.66,73.03,6,28.48,0.678,34.48,27.31,24.19,20.61,14.65
9.23,76.43,14,29.32,0.702,34.66,28.34,25.82,22.25,16.83
12.64,76.49,132,29.21,0.761,34.59,28.32,25.93,21.73,16.17
10.58,74.71,342,27.82,0.785,34.63,26.71,24.18,20.06,14.7
22.88,70.21,243,25.59,0.596,34.78,24.7,21.61,17.88,12.42
20.93,71.91,231,26.26,0.644,34.69,25.29,22.26,18.37,12.42
18.13,64.85,228,26.54,0.674,34.93,25.72,22.27,18.13,12.8
21.94,70.72,162,27.31,0.678,34.58,26.15,23.25,18.82,13.03
20.86,67.75,283,25.88,0.66,35.05,24.87,22.0,18.05,12.19
10.99,68.19,263,27.22,0.663,34.87,26.12,23.52,18.98,13.5
22.28,72.88,131,28.03,0.684,34.52,27.04,24.73,20.89,15.26
16.63,64.79,225,26.76,0.666,34.91,25.86,22.65,19.0,13.26
20.92,65.41,258,25.6,0.651,35.01,24.78,21.99,17.56,11.94
22.34,75.72,234,26.59,0.719,34.6,26.25,23.32,19.06,13.34
13.09,60.96,336,27.64,0.714,35.09,26.47,23.57,19.21,14.18
9.76,68.26,316,27.06,0.672,34.76,25.97,23.61,19.93,14.52
11.65,75.52,24,29.31,0.783,34.52,28.07,25.21,21.13,15.58
14.83,70.38,271,27.15,0.725,34.59,26.56,23.86,19.61,14.34
21.09,69.29,95,28.37,0.709,34.78,27.85,25.14,21.3,15.74
21.77,64.25,142,27.89,0.701,34.98,26.74,23.95,19.66,14.08
8.11,65.84,182,29.64,0.742,35.12,28.49,25.39,21.21,15.99
16.17,74.48,206,27.01,0.713,34.58,26.06,23.77,19.22,13.51
14.68,69.51,81,29.22,0.75,34.85,28.17,25.28,21.52,15.71
11.55,68.75,274,27.86,0.65,35.01,26.71,24.05,19.51,14.21
9.92,61.69,276,28.17,0.731,35.03,27.24,24.45,20.92,15.47
13.4,60.27,208,27.57,0.757,35.13,26.92,23.4,19.4,13.95
23.09,76.38,296,26.23,0.72,34.49,25.57,22.4,18.24,12.63
13.17,66.41,39,29.21,0.727,34.78,28.37,25.54,21.43,16.11
16.3,70.25,288,27.04,0.653,34.76,26.01,22.93,19.52,13.61
19.25,61.36,124,28.56,0.803,35.26,27.87,25.09,20.45,14.37
13.82,71.61,364,28.2,0.779,34.82,27.4,24.24,19.63,14.01
23.55,75.85,283,26.15,0.673,34.68,25.24,22.41,18.69,13.38
23.4,69.79,180,26.58,0.599,34.75,25.72,22.41,17.94,12.82
12.03,62.14,97,30.16,0.751,35.0,28.81,26.18,21.79,16.45
15.96,69.89,191,28.25,0.674,35.03,27.02,24.32,20.04,14.26
12.81,73.03,74,29.83,0.838,34.7,28.72,25.95,22.3,16.53
12.56,66.91,273,27.09,0.622,34.76,25.85,23.01,19.24,14.1
8.59,74.96,49,29.88,0.839,34.86,28.93,25.81,21.65,16.42
17.75,71.03,337,26.6,0.664,34.75,25.64,23.28,19.34,14.01
16.04,75.29,210,27.11,0.635,34.29,26.26,23.94,19.99,14.77
8.82,70.6,116,30.16,0.814,34.92,28.81,25.88,21.38,15.93
12.46,62.23,23,28.37,0.746,34.88,27.59,24.55,20.08,14.51
22.53,65.26,98,27.92,0.657,35.02,27.19,23.84,18.93,13.38
11.83,63.43,328,28.29,0.718,35.15,27.33,24.54,21.04,15.73
10.32,75.45,313,27.67,0.755,34.65,26.79,23.71,19.34,13.91
15.83,72.93,190,27.98,0.693,34.84,27.08,24.09,20.0,13.91
23.77,71.5,182,26.81,0.742,34.84,25.81,23.23,19.34,14.11
11.87,65.12,148,29.0,0.71,35.18,28.08,24.94,20.45,15.12
18.75,63.13,342,26.88,0.611,35.07,25.82,23.59,19.15,13.74
20.19,72.86,23,27.68,0.702,34.64,26.85,23.69,19.23,14.15
11.8,68.06,105,28.98,0.681,34.84,27.78,24.33,19.07,13.33
19.65,63.84,163,27.93,0.713,35.18,27.38,24.32,20.2,14.38
13.88,70.48,67,29.18,0.746,34.72,28.31,25.54,22.38,17.03
18.12,60.69,290,26.62,0.638,35.26,25.91,23.13,18.82,13.09
18.14,65.54,289,26.44,0.738,34.89,25.37,22.55,18.25,13.25
16.57,67.97,46,28.52,0.725,34.8,27.63,24.68,20.44,14.73
9.44,62.52,81,30.02,0.805,35.22,28.97,25.92,21.94,16.23
21.36,76.74,147,27.74,0.739,34.57,26.91,23.67,19.92,14.3
13.13,63.55,222,27.92,0.778,34.84,26.51,23.66,19.23,13.64
10.98,62.22,343,28.13,0.665,35.03,27.46,24.94,21.03,15.42
8.65,63.46,15,29.3,0.679,34.8,28.18,25.35,21.21,15.63
17.45,73.07,121,28.25,0.786,34.64,27.42,24.3,20.32,14.71
18.84,67.23,78,28.53,0.749,34.88,27.36,24.53,20.61,14.65
8.27,69.61,322,28.59,0.733,34.77,27.77,25.34,20.85,15.5
16.19,60.36,295,26.78,0.668,35.31,26.1,23.2,18.89,13.26
11.62,60.59,241,27.12,0.671,35.22,26.24,23.03,19.12,13.57
18.32,67.58,18,27.53,0.73,35.14,26.67,23.87,19.71,13.85
10.79,73.88,256,27.21,0.629,34.7,26.62,23.98,20.2,14.24
19.06,75.05,277,26.44,0.682,34.65,25.74,23.16,18.97,13.44
14.19,61.47,27,28.87,0.777,35.17,27.6,24.92,21.23,16.19
22.99,69.15,2,25.76,0.672,34.81,24.98,22.2,17.31,12.27
10.2,75.52,353,28.4,0.719,34.51,27.44,24.33,20.36,14.59
13.46,66.6,295,27.11,0.683,34.91,26.12,22.98,18.36,12.64
9.82,74.1,312,27.49,0.746,34.62,26.52,23.55,19.89,14.45
22.8,62.27,363,26.62,0.692,35.1,26.09,23.43,19.27,12.97
22.04,75.9,239,26.3,0.729,34.63,25.43,22.37,18.13,12.45
12.13,72.77,13,28.77,0.663,34.72,27.66,24.68,20.25,14.81
18.56,76.0,184,27.24,0.723,34.51,26.11,22.98,19.15,13.58
21.08,71.5,194,26.75,0.64,34.67,25.51,23.16,19.29,13.22
16.88,66.18,56,28.58,0.725,34.98,27.58,24.65,20.44,14.39
16.47,75.95,230,26.94,0.733,34.47,25.85,23.19,19.35,13.42
11.87,64.68,28,28.55,0.686,34.97,27.46,25.09,21.08,15.56
9.49,65.65,320,27.74,0.787,34.92,26.53,23.35,19.28,13.53
22.36,71.91,71,28.29,0.763,34.97,27.24,24.58,20.8,15.76
22.41,73.01,210,26.27,0.681,34.55,25.33,22.46,19.08,13.18
18.13,75.8,184,27.19,0.649,34.49,26.38,23.98,19.99,14.86
13.42,63.48,356,27.76,0.696,35.01,26.64,23.55,19.57,13.71
13.59,73.57,41,29.16,0.73,34.61,28.11,25.31,21.58,16.83
19.62,72.56,260,25.94,0.599,34.8,25.47,22.86,18.38,13.08
22.35,61.08,344,26.58,0.711,35.13,25.96,22.9,18.72,12.56
22.19,66.58,84,27.87,0.69,34.8,27.08,24.18,19.92,14.79
20.48,64.81,46,27.64,0.692,35.15,26.83,23.94,19.96,14.32
18.27,65.18,159,28.0,0.705,35.02,26.95,24.42,20.41,15.19
9.35,76.71,344,28.34,0.712,34.57,27.17,24.98,21.58,16.08
10.59,70.93,7,28.96,0.76,34.83,27.84,25.43,21.93,16.32
22.38,72.2,333,26.48,0.64,34.59,25.67,23.28,18.57,13.0
17.7,76.6,136,28.3,0.76,34.54,27.36,23.23,19.27,13.42
8.15,66.41,183,29.07,0.718,35.03,27.73,24.91,21.09,15.46
9.62,73.63,197,28.34,0.719,34.59,27.38,24.53,20.47,14.58
18.62,67.39,172,27.81,0.652,34.94,26.79,24.21,19.9,14.26
8.08,74.78,349,28.73,0.775,34.66,28.0,24.68,21.13,15.69
10.57,63.07,276,27.23,0.74,34.93,26.41,23.76,19.79,14.61
16.78,76.11,78,28.64,0.758,34.45,27.36,23.86,19.34,14.29
19.07,63.72,178,27.51,0.702,34.82,26.56,24.02,20.31,14.81
18.43,65.55,27,28.32,0.718,35.0,27.73,24.38,20.47,14.63
11.59,72.86,120,29.79,0.701,34.87,28.87,26.39,22.03,16.52
19.39,66.69,281,25.82,0.59,34.86,24.94,22.5,18.09,12.55
11.8,70.34,308,27.18,0.715,34.77,25.67,22.71,18.3,13.19
13.21,67.56,196,27.74,0.695,35.0,26.68,23.96,20.33,15.1
19.94,72.62,277,25.83,0.591,34.72,24.99,22.2,18.33,12.9
18.39,63.88,18,27.26,0.632,34.95,25.94,22.68,18.96,13.92
21.59,60.99,295,26.08,0.678,35.31,25.35,22.68,18.66,13.01
18.52,65.1,271,26.09,0.688,35.02,25.04,22.55,18.18,12.86
17.09,68.06,53,28.72,0.67,34.85,27.85,24.91,20.5,14.84
9.5,62.86,294,27.55,0.703,35.07,26.49,23.83,20.16,14.52
13.88,66.03,52,29.05,0.757,35.02,27.99,24.85,20.93,14.81
12.24,66.8,216,27.5,0.672,34.87,26.63,24.07,19.86,14.39
11.9,60.98,72,29.54,0.806,35.32,28.55,25.66,21.56,16.1
23.57,69.92,28,26.96,0.665,34.93,26.69,23.86,20.16,14.62
14.29,75.03,252,26.93,0.609,34.6,26.29,23.63,19.76,14.39
22.27,62.58,35,27.98,0.702,35.1,26.94,24.55,20.41,15.21
18.1,70.16,201,27.27,0.743,34.71,26.59,23.87,19.75,14.25
20.72,71.3,249,26.09,0.639,34.68,25.07,21.93,17.59,12.27
16.04,67.13,99,28.59,0.686,34.8,27.39,24.33,20.24,14.86
17.23,71.92,308,26.79,0.699,34.7,25.56,22.69,18.47,13.29
15.88,66.98,140,28.82,0.745,34.93,27.78,25.06,20.94,15.6
11.12,68.58,83,29.8,0.764,34.7,28.94,25.71,21.4,16.44
19.56,60.13,48,28.21,0.735,35.26,27.36,24.59,19.96,14.54
12.49,71.76,278,27.09,0.655,34.64,26.16,23.6,19.88,14.1
8.39,71.24,248,28.05,0.688,34.79,26.29,23.3,19.43,14.31
18.33,60.65,177,27.98,0.739,35.25,27.02,24.75,20.54,15.23
10.83,66.26,52,29.61,0.72,35.08,28.34,25.25,21.03,15.67
23.05,76.64,79,27.62,0.763,34.64,26.49,23.67,19.01,13.05
23.26,67.15,322,25.63,0.688,35.08,24.58,21.11,17.43,12.38
22.64,68.53,64,28.09,0.667,34.94,27.28,24.35,20.75,15.55
13.92,75.47,8,27.99,0.769,34.6,27.12,24.19,20.05,14.65
8.25,72.19,214,28.4,0.728,34.66,27.11,24.11,20.15,13.79
22.85,69.9,25,27.17,0.74,34.79,26.46,23.37,18.88,13.28
14.85,73.56,256,26.51,0.671,34.82,25.69,22.7,18.63,13.7
23.47,74.69,243,25.89,0.64,34.59,25.15,22.52,18.14,12.79
23.42,67.77,198,26.58,0.656,34.89,25.6,22.2,17.82,11.96
21.65,68.08,94,27.74,0.604,35.02,26.8,23.44,19.22,13.56
12.71,66.56,207,27.95,0.745,34.91,26.99,23.97,19.7,14.08
14.16,76.43,15,28.48,0.696,34.46,27.34,24.46,20.31,15.15
21.62,71.85,178,27.3,0.727,34.84,26.58,23.48,19.81,13.85
13.07,61.41,75,29.44,0.82,35.06,28.2,25.31,20.37,15.18
10.71,74.67,104,30.19,0.753,34.65,29.2,26.51,22.2,16.94
16.91,68.17,294,26.5,0.639,34.9,25.74,23.21,19.36,14.54
22.98,61.17,168,26.97,0.719,35.18,26.19,23.72,19.7,14.36
19.14,69.35,115,28.14,0.695,34.58,27.04,23.8,19.39,13.51
17.12,67.09,39,28.1,0.766,34.99,26.83,23.72,20.46,14.95
9.55,74.92,364,28.44,0.696,34.6,27.13,24.02,21.0,15.2
17.84,63.47,273,26.39,0.719,35.12,25.56,23.01,18.9,13.52
23.84,74.05,135,27.42,0.68,34.69,26.57,23.54,19.05,14.07
10.24,69.48,232,27.86,0.719,34.85,26.66,23.9,19.7,13.94
16.29,60.93,39,28.14,0.753,35.12,27.27,23.96,19.41,14.19
22.04,76.52,291,25.49,0.655,34.5,24.25,21.23,17.29,11.61
19.85,68.71,307,25.95,0.691,34.85,25.02,21.9,18.03,12.07
19.15,64.94,47,28.85,0.677,35.02,27.73,25.09,21.39,16.37
19.24,67.98,36,27.96,0.693,34.84,26.8,23.58,19.64,14.21
13.75,74.58,320,27.28,0.691,34.71,26.17,23.86,19.85,14.5
12.7,65.18,95,29.47,0.723,34.96,28.94,26.14,21.64,16.4
20.95,63.28,361,27.44,0.732,34.97,26.71,23.62,19.03,13.02
20.96,62.19,13,26.84,0.655,35.17,25.75,23.03,18.12,12.54
21.87,65.06,146,27.61,0.668,35.19,27.01,23.93,19.86,13.87
22.61,73.26,65,27.4,0.73,34.55,26.31,23.13,19.37,13.72
16.18,68.02,228,26.21,0.615,34.87,25.56,22.96,19.32,14.17
16.02,63.87,242,26.55,0.627,35.15,25.42,23.01,19.25,13.88
20.77,62.83,8,27.37,0.712,35.14,26.53,23.79,19.54,13.86
18.4,65.66,304,26.16,0.709,35.04,25.66,22.44,19.09,13.59
19.23,75.98,341,26.95,0.685,34.56,25.99,22.9,18.42,12.88
20.73,65.83,43,27.93,0.643,34.7,27.43,25.07,20.57,15.17
22.24,76.8,244,25.78,0.671,34.55,24.93,22.33,18.54,12.85
13.41,68.25,181,28.6,0.704,34.91,27.57,24.38,20.84,15.31
14.01,63.05,85,29.11,0.788,35.19,27.94,24.83,21.44,15.99
9.5,75.15,155,29.44,0.738,34.52,28.63,25.82,22.11,16.74
17.25,67.83,275,25.87,0.692,35.06,24.84,21.95,18.14,12.71
8.58,72.06,23,29.41,0.735,34.69,28.68,26.44,22.66,16.67
15.45,76.72,115,28.91,0.71,34.48,27.81,24.74,20.52,14.65
16.68,60.85,306,26.32,0.583,35.09,25.29,22.67,18.25,12.94
12.58,61.64,299,27.34,0.664,35.24,26.52,23.77,19.78,14.21
17.45,72.25,99,28.55,0.734,34.6,27.6,24.23,19.45,13.82
8.49,64.79,104,30.62,0.793,35.07,29.57,25.95,21.73,16.15
8.6,63.13,51,29.1,0.768,34.99,27.73,24.73,20.42,14.85
21.16,60.67,362,27.04,0.731,35.17,26.2,23.46,19.6,13.57
13.76,60.37,112,29.27,0.749,35.03,28.34,25.94,21.93,16.95
10.03,73.17,244,27.56,0.7,34.75,26.83,23.75,20.24,14.71
16.36,62.29,169,27.86,0.75,35.09,26.82,24.08,20.31,14.82
20.32,67.95,72,28.31,0.728,34.94,27.5,24.55,20.19,14.72
11.45,70.3,139,29.62,0.722,34.77,28.81,26.47,22.64,17.42
17.97,67.28,336,26.43,0.642,34.96,25.52,22.68,17.89,12.6
9.37,60.46,231,27.66,0.615,35.18,26.79,23.85,20.04,14.52
8.83,73.32,239,27.57,0.66,34.74,26.97,24.19,19.79,14.03
16.5,60.18,253,26.27,0.591,35.25,25.33,22.59,18.25,13.12
16.65,72.95,49,28.7,0.745,34.7,28.02,25.57,22.0,16.52
18.2,75.19,303,26.6,0.716,34.5,25.78,22.93,18.98,13.66
19.62,67.36,72,28.71,0.694,34.86,28.0,25.28,21.1,15.28
23.61,69.1,263,25.66,0.604,34.76,24.99,21.7,18.0,12.7
16.26,68.11,322,27.16,0.722,35.02,26.42,23.21,19.7,13.77
13.17,66.62,222,27.05,0.663,35.01,26.23,23.29,18.79,13.17
20.72,75.09,77,28.7,0.741,34.6,27.82,24.98,20.6,15.14
12.33,75.2,62,29.34,0.78,34.54,28.19,25.08,21.3,16.32
15.02,65.71,157,28.77,0.705,34.89,27.87,25.1,21.13,15.82
9.26,70.46,294,27.27,0.661,34.79,25.89,22.9,18.05,12.99
8.41,75.76,125,29.87,0.746,34.75,28.88,26.52,23.13,17.77
23.4,76.35,229,26.11,0.591,34.55,25.45,22.59,18.3,12.47
21.38,68.65,340,26.5,0.685,34.97,25.61,22.9,18.4,12.57
19.14,67.7,161,27.54,0.72,34.92,26.65,23.72,19.63,14.36
14.54,64.74,29,28.99,0.743,35.07,28.18,25.28,21.54,15.74
10.77,76.3,114,29.34,0.805,34.5,28.43,25.69,22.04,16.08
10.5,62.43,79,29.79,0.753,35.08,28.91,26.07,21.99,16.2
12.0,69.86,23,29.05,0.766,34.72,28.17,25.13,22.04,16.62
16.79,64.8,106,29.47,0.774,35.04,28.55,25.76,22.79,17.05
19.43,64.74,131,28.08,0.68,34.99,27.18,24.3,20.37,15.25
18.56,66.88,357,27.17,0.731,34.96,26.34,23.65,19.53,14.16
12.48,76.98,173,28.39,0.727,34.42,27.65,25.13,20.9,15.45
23.28,60.93,264,25.6,0.677,35.21,24.84,22.29,18.13,12.75
19.81,69.84,342,26.94,0.626,34.82,26.32,23.19,19.69,14.37
16.87,61.4,285,26.82,0.679,35.16,25.47,21.72,17.76,12.44
17.79,62.63,2,27.8,0.686,35.13,26.94,24.77,21.02,15.28
14.71,67.47,233,26.93,0.644,34.88,25.96,23.29,19.47,14.35
11.96,68.68,251,27.54,0.753,35.23,26.17,23.4,19.55,14.23
13.7,64.4,321,27.35,0.698,35.07,26.04,22.98,19.31,13.69
20.13,65.38,108,28.56,0.668,35.0,27.77,24.32,20.55,15.28
8.23,61.48,276,28.01,0.69,35.22,26.91,23.47,19.56,13.66
9.86,65.15,180,29.26,0.785,34.94,28.34,25.34,21.98,16.74
8.74,76.43,213,28.18,0.681,34.49,26.56,23.76,19.13,13.72
8.65,76.06,293,27.6,0.66,34.64,26.71,24.39,20.4,14.26
21.69,65.69,72,28.22,0.711,35.06,27.58,24.8,20.49,15.59
19.26,69.7,283,26.48,0.683,34.93,25.31,22.67,18.94,13.04
15.59,75.46,175,28.03,0.682,34.44,27.35,24.35,19.59,14.27
9.57,60.11,123,30.16,0.791,35.18,29.43,26.4,22.39,17.32
15.87,73.78,227,27.2,0.687,34.68,25.97,22.68,18.77,12.49
15.58,76.12,301,26.73,0.678,34.63,25.79,22.58,18.97,13.54
10.77,61.55,83,29.94,0.672,35.19,28.92,25.71,21.44,16.21
14.94,62.74,253,26.7,0.672,35.01,25.36,22.42,19.43,14.27
14.38,76.33,146,28.82,0.725,34.6,27.76,24.4,20.07,14.93
17.85,69.14,120,28.26,0.733,34.87,27.61,24.5,19.95,14.73
18.16,60.24,65,28.53,0.7,35.22,27.45,24.58,20.73,15.13
8.72,64.38,281,28.0,0.695,34.92,27.26,23.69,19.54,14.18
13.99,67.65,283,27.15,0.706,34.8,26.22,23.81,20.45,15.55
18.01,71.78,106,28.85,0.793,34.91,27.77,25.41,20.67,15.55
16.05,72.46,300,26.8,0.621,34.8,25.85,23.35,19.26,13.56
21.7,76.92,107,28.15,0.735,34.52,27.01,24.26,20.49,15.31
18.54,64.89,36,27.74,0.751,35.0,26.91,24.13,19.77,14.68
10.61,69.15,147,29.24,0.775,35.06,28.13,25.4,20.74,14.98
9.13,69.07,262,27.71,0.747,34.84,26.53,23.68,20.16,14.65
18.28,66.9,159,27.59,0.676,34.91,26.39,23.61,19.17,13.58
8.42,62.88,265,27.22,0.736,35.01,26.1,22.73,19.05,13.83
17.37,76.62,202,27.54,0.667,34.51,26.65,23.85,19.38,13.75
23.04,74.51,155,27.31,0.691,34.45,26.21,23.52,19.29,13.6
17.21,68.47,13,27.95,0.688,34.91,27.23,24.49,20.69,15.52
14.21,70.26,297,27.13,0.665,34.92,26.19,23.7,19.74,13.88
18.29,63.86,322,26.35,0.592,35.17,25.27,22.91,18.44,13.0
15.33,69.24,85,28.97,0.66,34.76,27.98,24.99,21.1,15.39
16.73,71.81,280,26.95,0.726,34.5,26.17,22.97,18.0,12.83
23.06,68.76,245,25.54,0.564,34.88,24.99,22.59,18.01,12.32
14.18,76.83,300,26.91,0.687,34.66,26.23,23.59,20.19,14.7
